year,month,dayofweek,is_weekend,season,city,region,latitude,longitude,elevation,tmin,tmax,tavg,prcp,wspd,humidity,pressure,dew_point,cloud_cover,temp_range,tomorrow_prcp,will_rain,yesterday_prcp,rain_3day,rain_7day
2000,1,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-3.5,0.6,-1.7,10.2,1.6,76,1020.1,-5.3,99,4.1,10.8,1,0.1,0.1,5.8
2000,2,1,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-1.6,0.6,-0.6,10.8,1.8,80,1013.6,-3.6,100,2.2,5.6,1,10.2,10.299999999999999,15.2
2000,2,2,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-3.9,1.2,-0.8,5.6,1.6,68,1020.0,-6.1,82,5.1,4.4,1,10.8,21.1,21.3
2000,2,3,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-4.4,-0.2,-2.5,4.4,1.9,78,1027.3,-5.8,95,4.2,1.1,1,5.6,26.599999999999998,26.700000000000003
2000,2,4,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.3,-0.2,-2.7,1.1,2.5,72,1025.2,-7.2,92,5.1,0.0,0,4.4,20.799999999999997,31.1
2000,2,5,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.2,-3.7,-6.0,0.0,3.1,48,1023.4,-15.5,38,4.5,0.0,0,1.1,11.1,32.2
2000,2,6,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.1,-6.5,-9.0,0.0,2.6,42,1026.5,-19.6,1,4.6,0.0,0,0.0,5.5,32.2
2000,2,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-13.1,-7.3,-10.7,0.0,2.6,39,1026.8,-21.9,3,5.8,0.0,0,0.0,1.1,32.1
2000,2,1,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-13.9,-4.9,-9.9,0.0,2.6,49,1026.5,-18.6,60,9.0,4.5,1,0.0,0.0,21.900000000000002
2000,2,2,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.1,-4.8,-7.6,4.5,2.3,64,1026.8,-13.2,95,6.3,1.1,1,0.0,0.0,11.1
2000,2,3,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.1,-0.2,-4.5,1.1,2.3,68,1017.3,-9.7,50,7.9,0.0,0,4.5,4.5,10.0
2000,2,4,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.5,-1.3,-6.1,0.0,2.6,64,1019.4,-11.9,82,10.2,0.0,0,1.1,5.6,6.699999999999999
2000,2,5,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-9.9,-2.5,-6.4,0.0,2.3,57,1025.3,-13.5,61,7.4,0.0,0,0.0,5.6,5.6
2000,2,6,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-13.0,-6.4,-9.9,0.0,2.6,55,1032.8,-17.4,0,6.6,0.0,0,0.0,1.1,5.6
2000,2,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-14.2,-6.3,-10.4,0.0,2.6,40,1033.4,-21.6,25,7.9,2.8,1,0.0,0.0,5.6
2000,2,1,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-10.4,-0.9,-5.2,2.8,2.4,50,1026.0,-14.4,100,9.5,6.9,1,0.0,0.0,5.6
2000,2,2,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-4.4,0.2,-2.8,6.9,1.8,75,1020.3,-6.7,89,4.6,2.5,1,2.8,2.8,8.4
2000,2,3,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-6.4,-0.5,-3.9,2.5,1.8,74,1019.6,-7.8,82,5.9,0.0,0,6.9,9.7,10.8
2000,2,4,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.4,-0.4,-5.1,0.0,2.3,72,1023.2,-9.6,51,8.0,0.0,0,2.5,12.2,12.200000000000001
2000,2,5,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.9,-3.7,-8.2,0.0,2.8,64,1028.7,-14.1,33,8.2,0.0,0,0.0,9.399999999999999,12.200000000000001
2000,2,6,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-13.8,-5.2,-10.0,0.0,2.3,55,1026.8,-17.5,2,8.6,0.0,0,0.0,2.5,12.200000000000001
2000,2,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-14.4,-5.4,-10.8,0.0,2.6,51,1028.2,-19.1,2,9.0,0.0,0,0.0,0.0,12.200000000000001
2000,2,1,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-14.1,-3.9,-9.6,0.0,2.6,51,1032.2,-17.9,59,10.2,0.0,0,0.0,0.0,12.200000000000001
2000,2,2,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-12.9,-2.9,-8.3,0.0,2.6,54,1032.9,-15.9,65,10.0,0.0,0,0.0,0.0,9.4
2000,2,3,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-14.0,-3.2,-9.1,0.0,2.6,55,1033.4,-16.6,6,10.8,0.0,0,0.0,0.0,2.5
2000,2,4,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-15.1,-4.5,-10.4,0.0,2.6,47,1030.9,-19.8,0,10.6,0.0,0,0.0,0.0,0.0
2000,2,5,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-15.2,-4.1,-10.2,0.0,2.6,38,1026.9,-21.8,10,11.1,0.0,0,0.0,0.0,0.0
2000,2,6,1,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.0,0.6,-5.6,0.0,2.6,43,1024.9,-16.4,83,11.6,0.0,0,0.0,0.0,0.0
2000,2,0,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.0,0.9,-4.8,0.0,2.6,58,1028.6,-11.9,48,11.9,4.7,1,0.0,0.0,0.0
2000,2,1,0,Winter,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-4.4,3.9,-0.6,4.7,2.1,67,1022.3,-6.0,87,8.3,1.8,1,0.0,0.0,0.0
2000,3,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-4.9,3.5,-1.3,1.8,2.3,80,1020.5,-4.4,63,8.4,5.3,1,4.7,4.7,4.7
2000,3,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.1,2.9,-1.1,5.3,2.1,72,1020.0,-5.8,66,8.0,2.1,1,1.8,6.5,6.5
2000,3,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.5,2.5,-1.2,2.1,1.8,72,1022.0,-5.6,89,8.0,20.9,1,5.3,11.8,11.8
2000,3,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-0.4,2.8,1.1,20.9,1.4,85,1010.9,-1.1,100,3.2,1.9,1,2.1,9.2,13.9
2000,3,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-3.5,3.6,0.3,1.9,2.1,74,1018.3,-3.9,27,7.1,0.7,1,20.9,28.299999999999997,34.8
2000,3,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-14.6,-0.1,-6.1,0.7,3.1,69,1022.7,-11.2,86,14.5,1.0,1,1.9,24.899999999999995,36.699999999999996
2000,3,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-6.8,2.7,-1.8,1.0,2.3,69,1022.8,-6.9,66,9.5,0.0,0,0.7,23.5,37.4
2000,3,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.0,-0.2,-4.5,0.0,2.5,69,1029.2,-9.7,14,7.8,0.0,0,1.0,3.5999999999999996,33.699999999999996
2000,3,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.8,-1.0,-6.4,0.0,2.6,57,1025.7,-14.0,3,10.8,0.0,0,0.0,1.7,31.9
2000,3,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.3,1.0,-3.9,0.0,2.6,47,1021.5,-13.6,65,9.3,3.0,1,0.0,1.0,26.599999999999998
2000,3,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.7,2.0,-2.4,3.0,2.3,69,1019.7,-7.4,77,7.7,0.4,1,0.0,0.0,24.5
2000,3,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-7.5,3.5,-2.0,0.4,2.3,71,1018.3,-6.8,40,11.0,0.0,0,3.0,3.0,6.6
2000,3,0,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-12.3,-0.5,-6.5,0.0,3.1,67,1025.3,-12.0,21,11.8,0.0,0,0.4,3.4,5.1
2000,3,1,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.7,1.4,-5.1,0.0,2.6,56,1024.9,-12.7,1,13.1,0.0,0,0.0,3.4,4.4
2000,3,2,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-10.8,1.0,-5.3,0.0,2.8,56,1027.0,-12.9,3,11.8,2.4,1,0.0,0.4,3.4
2000,3,3,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-6.6,1.4,-3.0,2.4,2.3,64,1021.0,-9.2,88,8.0,4.6,1,0.0,0.0,3.3999999999999995
2000,3,4,0,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-5.7,4.2,-0.4,4.6,2.3,69,1017.9,-5.7,52,9.9,0.0,0,2.4,2.4,5.799999999999999
2000,3,5,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-8.5,3.7,-2.5,0.0,2.6,65,1022.0,-8.5,41,12.2,0.0,0,4.6,7.0,10.399999999999999
2000,3,6,1,Spring,Gilgit,Gilgit-Baltistan,35.9221,74.3087,1500,-11.6,1.6,-4.0,0.0,2.1,64,1029.5,-10.2,7,13.2,0.0,0,0.0,7.0,7.399999999999999
